Nodes in GLB:
Node 0: Name='A008395-INS_PA01-FRME', No mesh  
Node 1: Name='A008395-COSTADOSCOST', Mesh index: 0  
Node 2: Name='A008395-TAPASXXXTAPA', Mesh index: 1  
Node 3: Name='Simetr적008395-COSTADOSCOST', Mesh index: 2  
Node 4: Name='A008395-SEPDORESSEPA', Mesh index: 3  
Node 5: Name='A008395-CAJON_DER', No mesh  
Node 6: Name='A008395-FONDOSXXCAJO', Mesh index: 4  
Node 7: Name='A008395-COSTADOSCAJO', Mesh index: 5  
Node 8: Name='A008395-COSTADOSCAJO001', Mesh index: 6  
Node 9: Name='A008395-FRENTESXCADE', Mesh index: 7  
Node 10: Name='A008395-PISOSXXCAJON', Mesh index: 8  
Node 11: Name='A008395-CAJON_DER001', No mesh  
Node 12: Name='A008395-FONDOSXXCAJO001', Mesh index: 9  
Node 13: Name='A008395-COSTADOSCAJO002', Mesh index: 10  
Node 14: Name='A008395-COSTADOSCAJO003', Mesh index: 11  
Node 15: Name='A008395-FRENTESXCADE001', Mesh index: 12  
Node 16: Name='A008395-PISOSXXCAJON001', Mesh index: 13  
Node 17: Name='A008395-CAJON_DER002', No mesh  
Node 18: Name='A008395-FONDOSXXCAJO002', Mesh index: 14  
Node 19: Name='A008395-COSTADOSCAJO004', Mesh index: 15  
Node 20: Name='A008395-COSTADOSCAJO005', Mesh index: 16  
Node 21: Name='A008395-FRENTESXCADE002', Mesh index: 17  
Node 22: Name='A008395-PISOSXXCAJON002', Mesh index: 18  
Node 23: Name='A008395-PISOSXXXFREN', Mesh index: 19  
Node 24: Name='A008395-ZOCALOSXZOCA', Mesh index: 20  
Node 25: Name='A008395-PISOSXXXATRA', Mesh index: 21  
Node 26: Name='A008395-ZOCALOSXZOCA001', Mesh index: 22  
Node 27: Name='A008395-FAJASXXXFREN', Mesh index: 23  
Node 28: Name='A008395-FAJASXXXFREN001', Mesh index: 24  
Node 29: Name='A008395-FAJASXXXFREN002', Mesh index: 25  
Node 30: Name='A008395-FAJASXXXFREN003', Mesh index: 26  
Node 31: Name='A008395-FAJASXXXFREN004', Mesh index: 27  
Node 32: Name='A008395-FAJASXXXFREN005', Mesh index: 28  
Node 33: Name='A008395-CAJON_IZQ', No mesh  
Node 34: Name='A008395-FONDOSXXCAJO003', Mesh index: 29  
Node 35: Name='A008395-COSTADOSCAJO006', Mesh index: 30  
Node 36: Name='A008395-COSTADOSCAJO007', Mesh index: 31  
Node 37: Name='A008395-FRENTESXCAIZ', Mesh index: 32  
Node 38: Name='A008395-PISOSXXCAJON003', Mesh index: 33  
Node 39: Name='A008395-CAJON_IZQ001', No mesh  
Node 40: Name='A008395-FONDOSXXCAJO004', Mesh index: 34  
Node 41: Name='A008395-COSTADOSCAJO008', Mesh index: 35  
Node 42: Name='A008395-COSTADOSCAJO009', Mesh index: 36  
Node 43: Name='A008395-FRENTESXCAIZ001', Mesh index: 37  
Node 44: Name='A008395-PISOSXXCAJON004', Mesh index: 38  
Node 45: Name='A008395-CAJON_IZQ002', No mesh  
Node 46: Name='A008395-FONDOSXXCAJO005', Mesh index: 39  
Node 47: Name='A008395-COSTADOSCAJO010', Mesh index: 40  
Node 48: Name='A008395-COSTADOSCAJO011', Mesh index: 41  
Node 49: Name='A008395-FRENTESXCAIZ002', Mesh index: 42  
Node 50: Name='A008395-PISOSXXCAJON005', Mesh index: 43  
Node 51: Name='A008395-FONDOSXXMUEB', Mesh index: 44  
Node 52: Name='A008395-FONDOSXXMUEB001', Mesh index: 45  
